fh,TempOut,hora
2017-04-25,20.30,08:00:00
2017-04-25,20.31,08:30:00
2017-04-25,21.18,09:00:00
2017-04-25,21.17,09:30:00
2017-04-25,21.96,10:00:00
2017-04-25,21.94,10:30:00
2017-04-25,22.62,11:00:00
2017-04-25,22.62,11:30:00
2017-04-25,23.16,12:00:00
2017-04-25,23.17,12:30:00
2017-04-25,23.53,13:00:00
2017-04-25,23.56,13:30:00
2017-04-25,23.70,14:00:00
2017-04-25,23.71,14:30:00
2017-04-25,23.59,15:00:00
2017-04-25,23.58,15:30:00
2017-04-25,23.22,16:00:00
2017-04-25,23.20,16:30:00
2017-04-25,22.63,17:00:00
2017-04-25,22.62,17:30:00
2017-04-25,21.91,18:00:00
2017-04-25,21.92,18:30:00
2017-04-25,21.12,19:00:00
2017-04-25,21.14,19:30:00
2017-04-25,20.28,20:00:00
2017-04-25,20.30,20:30:00
2017-04-25,19.43,21:00:00
2017-04-25,19.43,21:30:00
2017-04-25,18.59,22:00:00
2017-04-25,18.57,22:30:00
2017-04-25,17.84,23:00:00
2017-04-25,17.82,23:30:00
2017-04-26,17.18,00:00:00
2017-04-26,17.18,00:30:00
2017-04-26,16.85,01:00:00
2017-04-26,16.87,01:30:00
2017-04-26,16.78,02:00:00
2017-04-26,16.80,02:30:00
2017-04-26,16.93,03:00:00
2017-04-26,16.94,03:30:00
2017-04-26,17.27,04:00:00
2017-04-26,17.25,04:30:00
2017-04-26,17.76,05:00:00
2017-04-26,17.74,05:30:00
2017-04-26,18.43,06:00:00
2017-04-26,18.42,06:30:00
2017-04-26,19.25,07:00:00
2017-04-26,19.26,07:30:00
2017-04-26,20.17,08:00:00
2017-04-26,20.19,08:30:00
2017-04-26,21.09,09:00:00
2017-04-26,21.10,09:30:00
2017-04-26,21.92,10:00:00
2017-04-26,21.90,10:30:00
2017-04-26,22.59,11:00:00
2017-04-26,22.56,11:30:00
2017-04-26,23.08,12:00:00
2017-04-26,23.07,12:30:00
2017-04-26,23.41,13:00:00
2017-04-26,23.42,13:30:00
2017-04-26,23.55,14:00:00
2017-04-26,23.58,14:30:00
2017-04-26,23.49,15:00:00
2017-04-26,23.50,15:30:00
2017-04-26,23.17,16:00:00
2017-04-26,23.16,16:30:00
2017-04-26,22.60,17:00:00
2017-04-26,22.57,17:30:00
2017-04-26,21.85,18:00:00
2017-04-26,21.83,18:30:00
2017-04-26,21.00,19:00:00
2017-04-26,21.01,19:30:00
2017-04-26,20.14,20:00:00
2017-04-26,20.17,20:30:00
2017-04-26,19.31,21:00:00
2017-04-26,19.33,21:30:00
2017-04-26,18.52,22:00:00
2017-04-26,18.52,22:30:00
2017-04-26,17.80,23:00:00
2017-04-26,17.78,23:30:00
2017-04-27,17.13,00:00:00
2017-04-27,17.11,00:30:00
2017-04-27,16.76,01:00:00
2017-04-27,16.76,01:30:00
2017-04-27,16.65,02:00:00
2017-04-27,16.67,02:30:00
2017-04-27,16.81,03:00:00
2017-04-27,16.83,03:30:00
2017-04-27,17.19,04:00:00
2017-04-27,17.19,04:30:00
2017-04-27,17.73,05:00:00
2017-04-27,17.71,05:30:00
2017-04-27,18.39,06:00:00
2017-04-27,18.37,06:30:00
2017-04-27,19.17,07:00:00
2017-04-27,19.16,07:30:00
2017-04-27,20.04,08:00:00
2017-04-27,20.06,08:30:00
2017-04-27,20.96,09:00:00
2017-04-27,20.98,09:30:00
2017-04-27,21.82,10:00:00
2017-04-27,21.84,10:30:00
2017-04-27,22.54,11:00:00
2017-04-27,22.53,11:30:00
2017-04-27,23.05,12:00:00
2017-04-27,23.02,12:30:00
2017-04-27,23.34,13:00:00
2017-04-27,23.33,13:30:00
2017-04-27,23.44,14:00:00
2017-04-27,23.45,14:30:00
2017-04-27,23.35,15:00:00
2017-04-27,23.37,15:30:00
2017-04-27,23.06,16:00:00
2017-04-27,23.08,16:30:00
2017-04-27,22.54,17:00:00
2017-04-27,22.54,17:30:00
2017-04-27,21.82,18:00:00
2017-04-27,21.79,18:30:00
2017-04-27,20.95,19:00:00
2017-04-27,20.93,19:30:00
2017-04-27,20.04,20:00:00
2017-04-27,20.04,20:30:00
2017-04-27,19.17,21:00:00
2017-04-27,19.20,21:30:00
2017-04-27,18.40,22:00:00
2017-04-27,18.42,22:30:00
2017-04-27,17.73,23:00:00
2017-04-27,17.73,23:30:00
2017-04-27,17.73,23:30:00
2017-04-28,17.11,00:00:00
2017-04-28,17.09,00:30:00
2017-04-28,16.72,01:00:00
2017-04-28,16.70,01:30:00
2017-04-28,16.57,02:00:00
2017-04-28,16.56,02:30:00
2017-04-28,16.69,03:00:00
2017-04-28,16.70,03:30:00
2017-04-28,17.07,04:00:00
2017-04-28,17.09,04:30:00
2017-04-28,17.65,05:00:00
2017-04-28,17.66,05:30:00
2017-04-28,18.36,06:00:00
2017-04-28,18.35,06:30:00
2017-04-28,19.14,07:00:00
2017-04-28,19.12,07:30:00
2017-04-28,19.98,08:00:00
2017-04-28,19.97,08:30:00
2017-04-28,20.85,09:00:00
2017-04-28,20.86,09:30:00
2017-04-28,21.70,10:00:00
2017-04-28,21.72,10:30:00
2017-04-28,22.45,11:00:00
2017-04-28,22.46,11:30:00
2017-04-28,23.01,12:00:00
2017-04-28,23.00,12:30:00
2017-04-28,23.32,13:00:00
2017-04-28,23.30,13:30:00
2017-04-28,23.39,14:00:00
2017-04-28,23.37,14:30:00
2017-04-28,23.25,15:00:00
2017-04-28,23.25,15:30:00
2017-04-28,22.93,16:00:00
2017-04-28,22.95,16:30:00
2017-04-28,22.44,17:00:00
2017-04-28,22.46,17:30:00
2017-04-28,21.76,18:00:00
2017-04-28,21.76,18:30:00
2017-04-28,20.93,19:00:00
2017-04-28,20.91,19:30:00
2017-04-28,20.00,20:00:00
2017-04-28,19.98,20:30:00
2017-04-28,19.09,21:00:00
2017-04-28,19.08,21:30:00
2017-04-28,18.27,22:00:00
2017-04-28,18.29,22:30:00
2017-04-28,17.62,23:00:00
2017-04-28,17.64,23:30:00
2017-04-29,17.05,00:00:00
2017-04-29,17.05,00:30:00
2017-04-29,16.71,01:00:00
2017-04-29,16.69,01:30:00
2017-04-29,16.55,02:00:00
2017-04-29,16.53,02:30:00
2017-04-29,16.62,03:00:00
2017-04-29,16.61,03:30:00
2017-04-29,16.96,04:00:00
2017-04-29,16.97,04:30:00
2017-04-29,17.54,05:00:00
2017-04-29,17.56,05:30:00
2017-04-29,18.29,06:00:00
2017-04-29,18.30,06:30:00
2017-04-29,19.12,07:00:00
2017-04-29,19.10,07:30:00
2017-04-29,19.96,08:00:00
2017-04-29,19.94,08:30:00
2017-04-29,20.80,09:00:00
2017-04-29,20.78,09:30:00
2017-04-29,21.60,10:00:00
2017-04-29,21.61,10:30:00
2017-04-29,22.33,11:00:00
2017-04-29,22.35,11:30:00
2017-04-29,22.92,12:00:00
2017-04-29,22.94,12:30:00
2017-04-29,23.28,13:00:00
2017-04-29,23.28,13:30:00
2017-04-29,23.38,14:00:00
2017-04-29,23.35,14:30:00
2017-04-29,23.21,15:00:00
2017-04-29,23.19,15:30:00
2017-04-29,22.84,16:00:00
2017-04-29,22.85,16:30:00
2017-04-29,22.32,17:00:00
2017-04-29,22.34,17:30:00
2017-04-29,21.66,18:00:00
2017-04-29,21.68,18:30:00
2017-04-29,20.88,19:00:00
2017-04-29,20.88,19:30:00
2017-04-29,19.99,20:00:00
2017-04-29,19.97,20:30:00
2017-04-29,19.06,21:00:00
2017-04-29,19.04,21:30:00
2017-04-29,18.20,22:00:00
2017-04-29,18.20,22:30:00
2017-04-29,17.50,23:00:00
2017-04-29,17.52,23:30:00
2017-04-30,16.95,00:00:00
2017-04-30,16.97,00:30:00
2017-04-30,16.65,01:00:00
2017-04-30,16.66,01:30:00
2017-04-30,16.54,02:00:00
2017-04-30,16.52,02:30:00
2017-04-30,16.62,03:00:00
2017-04-30,16.59,03:30:00
2017-04-30,16.91,04:00:00
2017-04-30,16.90,04:30:00
2017-04-30,17.44,05:00:00
2017-04-30,17.45,05:30:00
2017-04-30,18.18,06:00:00
2017-04-30,18.20,06:30:00
2017-04-30,19.05,07:00:00
2017-04-30,19.06,07:30:00
2017-04-30,19.94,08:00:00
2017-04-30,19.93,08:30:00
2017-04-30,20.80,09:00:00
2017-04-30,20.77,09:30:00
2017-04-30,21.57,10:00:00
2017-04-30,21.55,10:30:00
2017-04-30,22.25,11:00:00
2017-04-30,22.25,11:30:00
2017-04-30,22.81,12:00:00
2017-04-30,22.83,12:30:00
2017-04-30,23.20,13:00:00
2017-04-30,23.22,13:30:00
2017-04-30,23.34,14:00:00
2017-04-30,23.34,14:30:00
2017-04-30,23.21,15:00:00
2017-04-30,23.19,15:30:00
2017-04-30,22.82,16:00:00
2017-04-30,22.80,16:30:00
2017-04-30,22.25,17:00:00
2017-04-30,22.25,17:30:00
2017-04-30,21.56,18:00:00
2017-04-30,21.58,18:30:00
2017-04-30,20.78,19:00:00
2017-04-30,20.80,19:30:00
2017-04-30,19.94,20:00:00
2017-04-30,19.94,20:30:00
2017-04-30,19.06,21:00:00
2017-04-30,19.04,21:30:00
2017-04-30,18.19,22:00:00
2017-04-30,18.17,22:30:00
2017-04-30,17.45,23:00:00
2017-04-30,17.44,23:30:00
2017-05-01,16.86,00:00:00
2017-05-01,16.88,00:30:00
2017-05-01,16.56,01:00:00
2017-05-01,16.58,01:30:00
2017-05-01,16.49,02:00:00
2017-05-01,16.50,02:30:00
2017-05-01,16.61,03:00:00
2017-05-01,16.60,03:30:00
2017-05-01,16.92,04:00:00
2017-05-01,16.90,04:30:00
2017-05-01,17.41,05:00:00
2017-05-01,17.40,05:30:00
2017-05-01,18.10,06:00:00
2017-05-01,18.11,06:30:00
2017-05-01,18.95,07:00:00
2017-05-01,18.97,07:30:00
2017-05-01,19.88,08:00:00
2017-05-01,19.89,08:30:00
2017-05-01,20.78,09:00:00
2017-05-01,20.78,09:30:00
2017-05-01,21.58,10:00:00
2017-05-01,21.55,10:30:00
2017-05-01,22.23,11:00:00
2017-05-01,22.22,11:30:00
2017-05-01,22.75,12:00:00
2017-05-01,22.75,12:30:00
2017-05-01,23.10,13:00:00
2017-05-01,23.12,13:30:00
2017-05-01,23.26,14:00:00
2017-05-01,23.29,14:30:00
2017-05-01,23.18,15:00:00
2017-05-01,23.18,15:30:00
2017-05-01,22.83,16:00:00
2017-05-01,22.81,16:30:00
2017-05-01,22.25,17:00:00
2017-05-01,22.23,17:30:00
2017-05-01,21.51,18:00:00
2017-05-01,21.50,18:30:00
2017-05-01,20.69,19:00:00
2017-05-01,20.71,19:30:00
2017-05-01,19.85,20:00:00
2017-05-01,19.87,20:30:00
2017-05-01,19.01,21:00:00
2017-05-01,19.02,21:30:00
2017-05-01,18.20,22:00:00
2017-05-01,18.18,22:30:00
2017-05-01,17.45,23:00:00
2017-05-01,17.43,23:30:00
2017-05-02,16.84,00:00:00
2017-05-02,16.83,00:30:00
2017-05-02,16.49,01:00:00
2017-05-02,16.50,01:30:00
2017-05-02,16.41,02:00:00
2017-05-02,16.43,02:30:00
2017-05-02,16.57,03:00:00
2017-05-02,16.58,03:30:00
2017-05-02,16.93,04:00:00
2017-05-02,16.92,04:30:00
2017-05-02,17.44,05:00:00
2017-05-02,17.41,05:30:00
2017-05-02,18.09,06:00:00
2017-05-02,18.08,06:30:00
2017-05-02,18.89,07:00:00
2017-05-02,18.90,07:30:00
2017-05-02,19.79,08:00:00
2017-05-02,19.82,08:30:00
2017-05-02,20.72,09:00:00
2017-05-02,20.74,09:30:00
2017-05-02,21.57,10:00:00
2017-05-02,21.57,10:30:00
2017-05-02,22.26,11:00:00
2017-05-02,22.24,11:30:00
2017-05-02,22.75,12:00:00
2017-05-02,22.73,12:30:00
2017-05-02,23.06,13:00:00
2017-05-02,23.06,13:30:00
2017-05-02,23.18,14:00:00
2017-05-02,23.20,14:30:00
2017-05-02,23.11,15:00:00
2017-05-02,23.14,15:30:00
2017-05-02,22.81,16:00:00
2017-05-02,22.82,16:30:00
2017-05-02,22.27,17:00:00
2017-05-02,22.25,17:30:00
2017-05-02,21.52,18:00:00
2017-05-02,21.50,18:30:00
2017-05-02,20.66,19:00:00
2017-05-02,20.65,19:30:00
2017-05-02,19.78,20:00:00
2017-05-02,19.79,20:30:00
2017-05-02,18.93,21:00:00
2017-05-02,18.96,21:30:00
2017-05-02,18.16,22:00:00
2017-05-02,18.17,22:30:00
2017-05-02,17.46,23:00:00
2017-05-02,17.45,23:30:00
2017-05-03,16.87,00:00:00
2017-05-03,16.85,00:30:00
2017-05-03,16.49,01:00:00
2017-05-03,16.47,01:30:00
2017-05-03,16.35,02:00:00
2017-05-03,16.36,02:30:00
2017-05-03,16.50,03:00:00
2017-05-03,16.52,03:30:00
2017-05-03,16.89,04:00:00
2017-05-03,16.90,04:30:00
2017-05-03,17.45,05:00:00
2017-05-03,17.44,05:30:00
2017-05-03,18.13,06:00:00
2017-05-03,18.11,06:30:00
2017-05-03,18.90,07:00:00
2017-05-03,18.88,07:30:00
2017-05-03,19.75,08:00:00
2017-05-03,19.76,08:30:00
2017-05-03,20.65,09:00:00
2017-05-03,20.67,09:30:00
2017-05-03,21.52,10:00:00
2017-05-03,21.54,10:30:00
2017-05-03,22.26,11:00:00
2017-05-03,22.26,11:30:00
2017-05-03,22.79,12:00:00
2017-05-03,22.77,12:30:00
2017-05-03,23.08,13:00:00
2017-05-03,23.06,13:30:00
2017-05-03,23.16,14:00:00
2017-05-03,23.15,14:30:00
2017-05-03,23.05,15:00:00
2017-05-03,23.06,15:30:00
2017-05-03,22.75,16:00:00
2017-05-03,22.77,16:30:00
2017-05-03,22.25,17:00:00
2017-05-03,22.26,17:30:00
2017-05-03,21.55,18:00:00
2017-05-03,21.53,18:30:00
2017-05-03,20.69,19:00:00
2017-05-03,20.67,19:30:00
2017-05-03,19.77,20:00:00
2017-05-03,19.75,20:30:00
2017-05-03,18.88,21:00:00
2017-05-03,18.89,21:30:00
2017-05-03,18.09,22:00:00
2017-05-03,18.12,22:30:00
2017-05-03,17.43,23:00:00
2017-05-03,17.45,23:30:00
2017-05-04,16.91,00:00:00
2017-05-04,16.90,00:30:00
2017-05-04,16.54,01:00:00
2017-05-04,16.51,01:30:00
2017-05-04,16.37,02:00:00
2017-05-04,16.36,02:30:00
2017-05-04,16.47,03:00:00
2017-05-04,16.47,03:30:00
2017-05-04,16.83,04:00:00
2017-05-04,16.85,04:30:00
2017-05-04,17.42,05:00:00
2017-05-04,17.44,05:30:00
2017-05-04,18.15,06:00:00
2017-05-04,18.15,06:30:00
2017-05-04,18.95,07:00:00
2017-05-04,18.93,07:30:00
2017-05-04,19.79,08:00:00
2017-05-04,19.76,08:30:00
2017-05-04,20.63,09:00:00
2017-05-04,20.63,09:30:00
2017-05-04,21.46,10:00:00
2017-05-04,21.48,10:30:00
2017-05-04,22.21,11:00:00
2017-05-04,22.24,11:30:00
2017-05-04,22.79,12:00:00
2017-05-04,22.79,12:30:00
2017-05-04,23.13,13:00:00
2017-05-04,23.11,13:30:00
2017-05-04,23.20,14:00:00
2017-05-04,23.18,14:30:00
2017-05-04,23.04,15:00:00
2017-05-04,23.03,15:30:00
2017-05-04,22.70,16:00:00
