fh,temp,hora
2017-04-22,18.87,00:00:00
2017-04-22,18.56,01:00:00
2017-04-22,18.46,02:00:00
2017-04-22,18.56,03:00:00
2017-04-22,18.86,04:00:00
2017-04-22,19.36,05:00:00
2017-04-22,20.04,06:00:00
2017-04-22,20.86,07:00:00
2017-04-22,21.77,08:00:00
2017-04-22,22.69,09:00:00
2017-04-22,23.55,10:00:00
2017-04-22,24.26,11:00:00
2017-04-22,24.79,12:00:00
2017-04-22,25.09,13:00:00
2017-04-22,25.17,14:00:00
2017-04-22,25.03,15:00:00
2017-04-22,24.69,16:00:00
2017-04-22,24.18,17:00:00
2017-04-22,23.51,18:00:00
2017-04-22,22.73,19:00:00
2017-04-22,21.86,20:00:00
2017-04-22,20.96,21:00:00
2017-04-22,20.11,22:00:00
2017-04-22,19.36,23:00:00
2017-04-23,18.70,00:00:00
2017-04-23,18.36,01:00:00
2017-04-23,18.28,02:00:00
2017-04-23,18.43,03:00:00
2017-04-23,18.81,04:00:00
2017-04-23,19.36,05:00:00
2017-04-23,20.04,06:00:00
2017-04-23,20.83,07:00:00
2017-04-23,21.67,08:00:00
2017-04-23,22.52,09:00:00
2017-04-23,23.35,10:00:00
2017-04-23,24.08,11:00:00
2017-04-23,24.66,12:00:00
2017-04-23,25.03,13:00:00
2017-04-23,25.16,14:00:00
2017-04-23,25.03,15:00:00
2017-04-23,24.65,16:00:00
2017-04-23,24.07,17:00:00
2017-04-23,23.34,18:00:00
2017-04-23,22.53,19:00:00
2017-04-23,21.68,20:00:00
2017-04-23,20.84,21:00:00
2017-04-23,20.05,22:00:00
2017-04-23,19.36,23:00:00
2017-04-24,18.70,00:00:00
2017-04-24,18.32,01:00:00
2017-04-24,18.17,02:00:00
2017-04-24,18.26,03:00:00
2017-04-24,18.61,04:00:00
2017-04-24,19.18,05:00:00
2017-04-24,19.92,06:00:00
2017-04-24,20.78,07:00:00
2017-04-24,21.66,08:00:00
2017-04-24,22.52,09:00:00
2017-04-24,23.31,10:00:00
2017-04-24,23.97,11:00:00
2017-04-24,24.49,12:00:00
2017-04-24,24.84,13:00:00
2017-04-24,24.98,14:00:00
2017-04-24,24.91,15:00:00
2017-04-24,24.60,16:00:00
2017-04-24,24.07,17:00:00
2017-04-24,23.34,18:00:00
2017-04-24,22.49,19:00:00
2017-04-24,21.57,20:00:00
2017-04-24,20.67,21:00:00
2017-04-24,19.85,22:00:00
2017-04-24,19.18,23:00:00
2017-04-25,18.59,00:00:00
2017-04-25,18.28,01:00:00
2017-04-25,18.17,02:00:00
2017-04-25,18.27,03:00:00
2017-04-25,18.57,04:00:00
2017-04-25,19.07,05:00:00
2017-04-25,19.75,06:00:00
2017-04-25,20.58,07:00:00
2017-04-25,21.49,08:00:00
2017-04-25,22.41,09:00:00
2017-04-25,23.26,10:00:00
2017-04-25,23.97,11:00:00
2017-04-25,24.49,12:00:00
2017-04-25,24.79,13:00:00
2017-04-25,24.87,14:00:00
2017-04-25,24.74,15:00:00
2017-04-25,24.40,16:00:00
2017-04-25,23.90,17:00:00
2017-04-25,23.23,18:00:00
2017-04-25,22.44,19:00:00
2017-04-25,22.44,19:00:00
2017-04-25,21.57,20:00:00
2017-04-25,20.67,21:00:00
2017-04-25,19.81,22:00:00
2017-04-25,19.07,23:00:00
2017-04-26,18.42,00:00:00
2017-04-26,18.09,01:00:00
2017-04-26,18.00,02:00:00
2017-04-26,18.16,03:00:00
2017-04-26,18.53,04:00:00
2017-04-26,19.08,05:00:00
2017-04-26,19.76,06:00:00
2017-04-26,20.54,07:00:00
2017-04-26,21.38,08:00:00
2017-04-26,22.24,09:00:00
2017-04-26,23.07,10:00:00
2017-04-26,23.81,11:00:00
2017-04-26,24.39,12:00:00
2017-04-26,24.76,13:00:00
2017-04-26,24.88,14:00:00
2017-04-26,24.74,15:00:00
2017-04-26,24.36,16:00:00
2017-04-26,23.78,17:00:00
2017-04-26,23.06,18:00:00
2017-04-26,22.25,19:00:00
2017-04-26,21.40,20:00:00
2017-04-26,20.57,21:00:00
2017-04-26,19.78,22:00:00
2017-04-26,19.08,23:00:00
2017-04-27,18.43,00:00:00
2017-04-27,18.05,01:00:00
2017-04-27,17.90,02:00:00
2017-04-27,17.99,03:00:00
2017-04-27,18.34,04:00:00
2017-04-27,18.92,05:00:00
2017-04-27,19.66,06:00:00
2017-04-27,20.51,07:00:00
2017-04-27,21.40,08:00:00
2017-04-27,22.25,09:00:00
2017-04-27,23.03,10:00:00
2017-04-27,23.70,11:00:00
2017-04-27,24.22,12:00:00
2017-04-27,24.57,13:00:00
2017-04-27,24.72,14:00:00
2017-04-27,24.65,15:00:00
2017-04-27,24.34,16:00:00
2017-04-27,23.80,17:00:00
2017-04-27,23.07,18:00:00
2017-04-27,22.21,19:00:00
2017-04-27,21.29,20:00:00
2017-04-27,20.40,21:00:00
2017-04-27,19.59,22:00:00
2017-04-27,18.92,23:00:00
2017-04-28,18.35,00:00:00
2017-04-28,18.03,01:00:00
2017-04-28,17.92,02:00:00
2017-04-28,18.01,03:00:00
2017-04-28,18.31,04:00:00
2017-04-28,18.82,05:00:00
2017-04-28,19.50,06:00:00
2017-04-28,20.34,07:00:00
2017-04-28,21.25,08:00:00
2017-04-28,22.17,09:00:00
2017-04-28,23.02,10:00:00
2017-04-28,23.72,11:00:00
2017-04-28,24.24,12:00:00
2017-04-28,24.54,13:00:00
2017-04-28,24.62,14:00:00
2017-04-28,24.49,15:00:00
2017-04-28,24.16,16:00:00
2017-04-28,23.66,17:00:00
2017-04-28,22.99,18:00:00
2017-04-28,22.20,19:00:00
2017-04-28,21.32,20:00:00
2017-04-28,20.41,21:00:00
2017-04-28,19.55,22:00:00
2017-04-28,18.81,23:00:00
2017-04-29,18.19,00:00:00
2017-04-29,17.87,01:00:00
2017-04-29,17.79,02:00:00
2017-04-29,17.94,03:00:00
2017-04-29,18.31,04:00:00
2017-04-29,18.85,05:00:00
2017-04-29,19.53,06:00:00
2017-04-29,20.31,07:00:00
2017-04-29,21.15,08:00:00
2017-04-29,22.02,09:00:00
2017-04-29,22.85,10:00:00
2017-04-29,23.59,11:00:00
2017-04-29,24.17,12:00:00
2017-04-29,24.54,13:00:00
2017-04-29,24.65,14:00:00
2017-04-29,24.51,15:00:00
2017-04-29,24.13,16:00:00
2017-04-29,23.56,17:00:00
2017-04-29,22.84,18:00:00
2017-04-29,22.03,19:00:00
2017-04-29,21.19,20:00:00
2017-04-29,20.35,21:00:00
2017-04-29,19.56,22:00:00
2017-04-29,18.85,23:00:00
2017-04-30,18.23,00:00:00
2017-04-30,17.85,01:00:00
2017-04-30,17.70,02:00:00
2017-04-30,17.80,03:00:00
2017-04-30,18.16,04:00:00
2017-04-30,18.73,05:00:00
2017-04-30,19.48,06:00:00
2017-04-30,20.32,07:00:00
2017-04-30,21.20,08:00:00
2017-04-30,22.05,09:00:00
2017-04-30,22.83,10:00:00
2017-04-30,23.50,11:00:00
2017-04-30,24.03,12:00:00
2017-04-30,24.38,13:00:00
2017-04-30,24.54,14:00:00
2017-04-30,24.46,15:00:00
2017-04-30,24.15,16:00:00
2017-04-30,23.60,17:00:00
2017-04-30,22.87,18:00:00
2017-04-30,22.01,19:00:00
2017-04-30,21.10,20:00:00
2017-04-30,20.20,21:00:00
2017-04-30,19.40,22:00:00
2017-04-30,18.73,23:00:00
2017-05-01,18.19,00:00:00
2017-05-01,17.87,01:00:00
2017-05-01,17.76,02:00:00
2017-05-01,17.84,03:00:00
2017-05-01,18.14,04:00:00
2017-05-01,18.65,05:00:00
2017-05-01,19.34,06:00:00
2017-05-01,20.18,07:00:00
2017-05-01,21.10,08:00:00
2017-05-01,22.02,09:00:00
2017-05-01,22.86,10:00:00
2017-05-01,23.56,11:00:00
2017-05-01,24.07,12:00:00
2017-05-01,24.37,13:00:00
2017-05-01,24.45,14:00:00
2017-05-01,24.33,15:00:00
2017-05-01,24.00,16:00:00
2017-05-01,23.50,17:00:00
2017-05-01,22.84,18:00:00
2017-05-01,22.04,19:00:00
2017-05-01,21.15,20:00:00
2017-05-01,20.24,21:00:00
2017-05-01,19.38,22:00:00
2017-05-01,18.65,23:00:00
2017-05-02,18.07,00:00:00
2017-05-02,17.75,01:00:00
2017-05-02,17.67,02:00:00
2017-05-02,17.82,03:00:00
2017-05-02,18.18,04:00:00
2017-05-02,18.72,05:00:00
2017-05-02,19.39,06:00:00
2017-05-02,20.17,07:00:00
2017-05-02,21.02,08:00:00
2017-05-02,21.89,09:00:00
2017-05-02,22.73,10:00:00
2017-05-02,23.47,11:00:00
2017-05-02,24.05,12:00:00
2017-05-02,24.41,13:00:00
2017-05-02,24.52,14:00:00
2017-05-02,24.38,15:00:00
2017-05-02,24.00,16:00:00
2017-05-02,23.42,17:00:00
2017-05-02,22.71,18:00:00
2017-05-02,21.91,19:00:00
2017-05-02,21.07,20:00:00
2017-05-02,20.23,21:00:00
2017-05-02,19.43,22:00:00
2017-05-02,18.72,23:00:00
2017-05-03,18.13,00:00:00
2017-05-03,17.75,01:00:00
2017-05-03,17.60,02:00:00
2017-05-03,17.71,03:00:00
2017-05-03,18.07,04:00:00
2017-05-03,18.65,05:00:00
2017-05-03,19.39,06:00:00
2017-05-03,20.23,07:00:00
2017-05-03,21.11,08:00:00
2017-05-03,21.95,09:00:00
2017-05-03,22.73,10:00:00
2017-05-03,23.41,11:00:00
2017-05-03,23.94,12:00:00
2017-05-03,24.30,13:00:00
2017-05-03,24.46,14:00:00
2017-05-03,24.38,15:00:00
2017-05-03,24.06,16:00:00
2017-05-03,23.51,17:00:00
2017-05-03,22.77,18:00:00
2017-05-03,21.91,19:00:00
2017-05-03,21.00,20:00:00
2017-05-03,20.12,21:00:00
2017-05-03,19.32,22:00:00
2017-05-03,18.65,23:00:00
2017-05-04,18.15,00:00:00
2017-05-04,17.83,01:00:00
2017-05-04,17.70,02:00:00
2017-05-04,17.78,03:00:00
2017-05-04,18.08,04:00:00
2017-05-04,18.59,05:00:00
2017-05-04,19.29,06:00:00
2017-05-04,20.13,07:00:00
2017-05-04,21.05,08:00:00
2017-05-04,21.97,09:00:00
2017-05-04,22.81,10:00:00
2017-05-04,23.50,11:00:00
2017-05-04,24.01,12:00:00
2017-05-04,24.31,13:00:00
2017-05-04,24.40,14:00:00
2017-05-04,24.28,15:00:00
2017-05-04,23.96,16:00:00
2017-05-04,23.46,17:00:00
2017-05-04,22.79,18:00:00
2017-05-04,21.99,19:00:00
2017-05-04,21.10,20:00:00
2017-05-04,20.19,21:00:00
2017-05-04,19.33,22:00:00
2017-05-04,18.59,23:00:00
2017-05-05,18.06,00:00:00
2017-05-05,17.74,01:00:00
2017-05-05,17.67,02:00:00
2017-05-05,17.82,03:00:00
2017-05-05,18.18,04:00:00
2017-05-05,18.71,05:00:00
2017-05-05,19.38,06:00:00
2017-05-05,20.15,07:00:00
2017-05-05,21.01,08:00:00
2017-05-05,21.88,09:00:00
2017-05-05,22.73,10:00:00
2017-05-05,23.47,11:00:00
2017-05-05,24.05,12:00:00
2017-05-05,24.40,13:00:00
2017-05-05,24.51,14:00:00
2017-05-05,24.36,15:00:00
2017-05-05,23.98,16:00:00
2017-05-05,23.41,17:00:00
2017-05-05,22.70,18:00:00
2017-05-05,21.91,19:00:00
2017-05-05,21.07,20:00:00
2017-05-05,20.22,21:00:00
2017-05-05,19.42,22:00:00
2017-05-05,18.70,23:00:00
2017-05-06,18.15,00:00:00
2017-05-06,17.77,01:00:00
2017-05-06,17.63,02:00:00
2017-05-06,17.74,03:00:00
2017-05-06,18.11,04:00:00
2017-05-06,18.69,05:00:00
2017-05-06,19.43,06:00:00
2017-05-06,20.26,07:00:00
2017-05-06,21.13,08:00:00
2017-05-06,21.98,09:00:00
2017-05-06,22.76,10:00:00
2017-05-06,23.43,11:00:00
2017-05-06,23.97,12:00:00
2017-05-06,24.34,13:00:00
2017-05-06,24.49,14:00:00
2017-05-06,24.41,15:00:00
2017-05-06,24.09,16:00:00
2017-05-06,23.53,17:00:00
2017-05-06,22.80,18:00:00
2017-05-06,21.93,19:00:00
2017-05-06,21.03,20:00:00
2017-05-06,20.15,21:00:00
2017-05-06,19.35,22:00:00
2017-05-06,18.69,23:00:00
2017-05-07,18.22,00:00:00
2017-05-07,17.90,01:00:00
2017-05-07,17.77,02:00:00
2017-05-07,17.85,03:00:00
2017-05-07,18.15,04:00:00
2017-05-07,18.66,05:00:00
2017-05-07,19.36,06:00:00
2017-05-07,20.21,07:00:00
2017-05-07,21.13,08:00:00
2017-05-07,22.05,09:00:00
2017-05-07,22.88,10:00:00
2017-05-07,23.57,11:00:00
2017-05-07,24.07,12:00:00
2017-05-07,24.37,13:00:00
2017-05-07,24.46,14:00:00
2017-05-07,24.35,15:00:00
2017-05-07,24.04,16:00:00
2017-05-07,23.54,17:00:00
2017-05-07,22.87,18:00:00
2017-05-07,22.06,19:00:00
2017-05-07,21.17,20:00:00
2017-05-07,20.25,21:00:00
2017-05-07,19.39,22:00:00
2017-05-07,18.66,23:00:00
2017-05-08,18.17,00:00:00
2017-05-08,17.86,01:00:00
2017-05-08,17.78,02:00:00
2017-05-08,17.93,03:00:00
2017-05-08,18.29,04:00:00
2017-05-08,18.81,05:00:00
2017-05-08,19.48,06:00:00
2017-05-08,20.26,07:00:00
2017-05-08,21.11,08:00:00
2017-05-08,21.99,09:00:00
2017-05-08,22.84,10:00:00
2017-05-08,23.59,11:00:00
2017-05-08,24.16,12:00:00
2017-05-08,24.51,13:00:00
2017-05-08,24.61,14:00:00
2017-05-08,24.46,15:00:00
2017-05-08,24.08,16:00:00
2017-05-08,23.52,17:00:00
2017-05-08,22.82,18:00:00
2017-05-08,22.02,19:00:00
2017-05-08,21.19,20:00:00
2017-05-08,20.34,21:00:00
2017-05-08,19.53,22:00:00
2017-05-08,18.81,23:00:00
2017-05-09,18.29,00:00:00
2017-05-09,17.91,01:00:00
2017-05-09,17.77,02:00:00
2017-05-09,17.89,03:00:00
2017-05-09,18.26,04:00:00
2017-05-09,18.84,05:00:00
2017-05-09,19.58,06:00:00
2017-05-09,20.41,07:00:00
2017-05-09,21.27,08:00:00
2017-05-09,22.11,09:00:00
2017-05-09,22.89,10:00:00
2017-05-09,23.58,11:00:00
2017-05-09,24.12,12:00:00
2017-05-09,24.49,13:00:00
2017-05-09,24.65,14:00:00
2017-05-09,24.56,15:00:00
2017-05-09,24.23,16:00:00
2017-05-09,23.67,17:00:00
2017-05-09,22.93,18:00:00
2017-05-09,22.07,19:00:00
2017-05-09,21.17,20:00:00
2017-05-09,20.30,21:00:00
2017-05-09,19.51,22:00:00
2017-05-09,18.84,23:00:00
2017-05-10,18.41,00:00:00
2017-05-10,18.08,01:00:00
2017-05-10,17.94,02:00:00
2017-05-10,18.02,03:00:00
2017-05-10,18.32,04:00:00
2017-05-10,18.84,05:00:00
2017-05-10,19.55,06:00:00
2017-05-10,20.40,07:00:00
2017-05-10,21.32,08:00:00
2017-05-10,22.23,09:00:00
2017-05-10,23.06,10:00:00
2017-05-10,23.74,11:00:00
2017-05-10,24.25,12:00:00
2017-05-10,24.55,13:00:00
2017-05-10,24.64,14:00:00
2017-05-10,24.53,15:00:00
2017-05-10,24.22,16:00:00
2017-05-10,23.72,17:00:00
2017-05-10,23.05,18:00:00
2017-05-10,22.24,19:00:00
2017-05-10,21.34,20:00:00
2017-05-10,20.42,21:00:00
2017-05-10,19.56,22:00:00
2017-05-10,18.84,23:00:00
2017-05-11,18.38,00:00:00
2017-05-11,18.07,01:00:00
2017-05-11,18.00,02:00:00
2017-05-11,18.15,03:00:00
2017-05-11,18.49,04:00:00
2017-05-11,19.01,05:00:00
2017-05-11,19.68,06:00:00
2017-05-11,20.46,07:00:00
2017-05-11,21.32,08:00:00
2017-05-11,22.21,09:00:00
2017-05-11,23.06,10:00:00
2017-05-11,23.81,11:00:00
2017-05-11,24.38,12:00:00
2017-05-11,24.72,13:00:00
2017-05-11,24.82,14:00:00
2017-05-11,24.66,15:00:00
2017-05-11,24.28,16:00:00
2017-05-11,23.72,17:00:00
2017-05-11,23.03,18:00:00
2017-05-11,22.24,19:00:00
2017-05-11,21.40,20:00:00
2017-05-11,20.55,21:00:00
2017-05-11,19.74,22:00:00
2017-05-11,19.01,23:00:00
2017-05-12,18.52,00:00:00
2017-05-12,18.14,01:00:00
2017-05-12,18.01,02:00:00
2017-05-12,18.13,03:00:00
2017-05-12,18.50,04:00:00
2017-05-12,19.09,05:00:00
2017-05-12,19.82,06:00:00
2017-05-12,20.64,07:00:00
2017-05-12,21.50,08:00:00
2017-05-12,22.34,09:00:00
2017-05-12,23.12,10:00:00
2017-05-12,2.00,11:00:00
2017-05-12,24.36,12:00:00
2017-05-12,24.73,13:00:00
2017-05-12,24.89,14:00:00
2017-05-12,24.80,15:00:00
2017-05-12,24.47,16:00:00
2017-05-12,23.90,17:00:00
2017-05-12,23.16,18:00:00
2017-05-12,22.30,19:00:00
2017-05-12,21.41,20:00:00
2017-05-12,20.54,21:00:00
2017-05-12,19.75,22:00:00
2017-05-12,19.09,23:00:00
2017-05-13,18.67,00:00:00
2017-05-13,18.33,01:00:00
2017-05-13,18.19,02:00:00
2017-05-13,18.27,03:00:00
2017-05-13,18.57,04:00:00
2017-05-13,19.09,05:00:00
2017-05-13,19.81,06:00:00
2017-05-13,20.66,07:00:00
2017-05-13,21.58,08:00:00
2017-05-13,22.49,09:00:00
2017-05-13,23.31,10:00:00
2017-05-13,23.99,11:00:00
2017-05-13,24.49,12:00:00
2017-05-13,24.80,13:00:00
2017-05-13,24.90,14:00:00
2017-05-13,24.79,15:00:00
2017-05-13,24.49,16:00:00
2017-05-13,23.99,17:00:00
2017-05-13,23.31,18:00:00
2017-05-13,22.49,19:00:00
2017-05-13,21.59,20:00:00
2017-05-13,20.67,21:00:00
2017-05-13,19.81,22:00:00
2017-05-13,19.09,23:00:00
2017-05-14,18.66,00:00:00
2017-05-14,18.36,01:00:00
2017-05-14,18.28,02:00:00
2017-05-14,18.42,03:00:00
2017-05-14,18.76,04:00:00
2017-05-14,19.28,05:00:00
2017-05-14,19.94,06:00:00
2017-05-14,20.73,07:00:00
2017-05-14,21.59,08:00:00
2017-05-14,22.49,09:00:00
2017-05-14,23.34,10:00:00
2017-05-14,24.09,11:00:00
2017-05-14,24.65,12:00:00
2017-05-14,24.99,13:00:00
2017-05-14,25.08,14:00:00
2017-05-14,24.93,15:00:00
2017-05-14,24.55,16:00:00
2017-05-14,24.00,17:00:00
2017-05-14,23.31,18:00:00
2017-05-14,22.52,19:00:00
2017-05-14,21.68,20:00:00
2017-05-14,20.83,21:00:00
2017-05-14,20.01,22:00:00
2017-05-14,19.28,23:00:00
2017-05-15,18.79,00:00:00
2017-05-15,18.42,01:00:00
2017-05-15,18.29,02:00:00
2017-05-15,18.42,03:00:00
2017-05-15,18.80,04:00:00
2017-05-15,19.38,05:00:00
2017-05-15,20.11,06:00:00
2017-05-15,20.93,07:00:00
2017-05-15,21.78,08:00:00
2017-05-15,22.62,09:00:00
2017-05-15,23.40,10:00:00
2017-05-15,24.09,11:00:00
2017-05-15,24.65,12:00:00
2017-05-15,25.03,13:00:00
2017-05-15,25.18,14:00:00
2017-05-15,25.09,15:00:00
2017-05-15,24.75,16:00:00
2017-05-15,24.18,17:00:00
2017-05-15,23.44,18:00:00
2017-05-15,22.58,19:00:00
2017-05-15,21.69,20:00:00
2017-05-15,20.83,21:00:00
2017-05-15,20.04,22:00:00
2017-05-15,19.38,23:00:00
2017-05-16,18.96,00:00:00
2017-05-16,18.62,01:00:00
2017-05-16,18.47,02:00:00
2017-05-16,18.55,03:00:00
2017-05-16,18.85,04:00:00
2017-05-16,19.38,05:00:00
2017-05-16,20.10,06:00:00
2017-05-16,20.96,07:00:00
2017-05-16,21.88,08:00:00
2017-05-16,22.79,09:00:00
2017-05-16,23.60,10:00:00
2017-05-16,24.28,11:00:00
2017-05-16,24.78,12:00:00
2017-05-16,25.08,13:00:00
2017-05-16,25.19,14:00:00
2017-05-16,25.09,15:00:00
2017-05-16,24.79,16:00:00
2017-05-16,24.29,17:00:00
2017-05-16,23.61,18:00:00
2017-05-16,22.78,19:00:00
2017-05-16,21.87,20:00:00
2017-05-16,20.95,21:00:00
2017-05-16,20.10,22:00:00
2017-05-16,19.38,23:00:00
2017-05-17,18.96,00:00:00
2017-05-17,18.65,01:00:00
2017-05-17,18.58,02:00:00
2017-05-17,18.72,03:00:00
2017-05-17,19.05,04:00:00
2017-05-17,19.56,05:00:00
2017-05-17,20.23,06:00:00
2017-05-17,21.01,07:00:00
2017-05-17,21.88,08:00:00
2017-05-17,22.78,09:00:00
2017-05-17,23.64,10:00:00
2017-05-17,24.38,11:00:00
2017-05-17,24.95,12:00:00
2017-05-17,25.28,13:00:00
2017-05-17,25.37,14:00:00
2017-05-17,25.21,15:00:00
2017-05-17,24.84,16:00:00
2017-05-17,24.29,17:00:00
2017-05-17,23.60,18:00:00
2017-05-17,22.82,19:00:00
2017-05-17,21.98,20:00:00
2017-05-17,21.12,21:00:00
2017-05-17,20.30,22:00:00
2017-05-17,19.56,23:00:00
2017-05-18,19.07,00:00:00
2017-05-18,18.70,01:00:00
2017-05-18,18.58,02:00:00
2017-05-18,18.71,03:00:00
2017-05-18,19.09,04:00:00
2017-05-18,19.67,05:00:00
2017-05-18,20.39,06:00:00
2017-05-18,21.21,07:00:00
2017-05-18,22.06,08:00:00
2017-05-18,22.89,09:00:00
2017-05-18,23.68,10:00:00
2017-05-18,24.38,11:00:00
2017-05-18,24.94,12:00:00
2017-05-18,25.32,13:00:00
2017-05-18,25.47,14:00:00
2017-05-18,25.38,15:00:00
2017-05-18,25.03,16:00:00
2017-05-18,24.46,17:00:00
2017-05-18,23.71,18:00:00
2017-05-18,22.86,19:00:00
2017-05-18,21.98,20:00:00
2017-05-18,21.12,21:00:00
2017-05-18,20.34,22:00:00
2017-05-18,19.67,23:00:00
2017-05-19,19.24,00:00:00
2017-05-19,18.89,01:00:00
2017-05-19,18.74,02:00:00
2017-05-19,18.82,03:00:00
2017-05-19,19.12,04:00:00
2017-05-19,19.66,05:00:00
2017-05-19,20.38,06:00:00
2017-05-19,21.24,07:00:00
2017-05-19,22.16,08:00:00
2017-05-19,23.06,09:00:00
2017-05-19,23.87,10:00:00
2017-05-19,24.54,11:00:00
2017-05-19,25.04,12:00:00
2017-05-19,25.35,13:00:00
2017-05-19,25.46,14:00:00
2017-05-19,25.37,15:00:00
2017-05-19,25.07,16:00:00
2017-05-19,24.57,17:00:00
2017-05-19,23.88,18:00:00
2017-05-19,23.05,19:00:00
2017-05-19,22.14,20:00:00
2017-05-19,21.22,21:00:00
2017-05-19,20.37,22:00:00
2017-05-19,19.66,23:00:00
2017-05-20,19.22,00:00:00
2017-05-20,18.92,01:00:00
2017-05-20,18.84,02:00:00
2017-05-20,18.98,03:00:00
2017-05-20,19.31,04:00:00
2017-05-20,19.81,05:00:00
2017-05-20,20.48,06:00:00
2017-05-20,21.27,07:00:00
2017-05-20,22.14,08:00:00
2017-05-20,23.05,09:00:00
2017-05-20,23.90,10:00:00
2017-05-20,24.65,11:00:00
2017-05-20,25.20,12:00:00
2017-05-20,25.53,13:00:00
2017-05-20,25.62,14:00:00
2017-05-20,25.46,15:00:00
2017-05-20,25.09,16:00:00
2017-05-20,24.55,17:00:00
2017-05-20,23.87,18:00:00
2017-05-20,23.09,19:00:00
2017-05-20,22.24,20:00:00
2017-05-20,21.38,21:00:00
2017-05-20,20.55,22:00:00
2017-05-20,19.81,23:00:00
2017-05-21,19.30,00:00:00
2017-05-21,18.93,01:00:00
2017-05-21,18.81,02:00:00
2017-05-21,18.95,03:00:00
2017-05-21,19.33,04:00:00
2017-05-21,19.91,05:00:00
2017-05-21,20.63,06:00:00
2017-05-21,21.44,07:00:00
2017-05-21,22.28,08:00:00
2017-05-21,23.12,09:00:00
2017-05-21,23.91,10:00:00
2017-05-21,24.62,11:00:00
2017-05-21,25.18,12:00:00
2017-05-21,25.56,13:00:00
2017-05-21,25.71,14:00:00
2017-05-21,25.61,15:00:00
2017-05-21,25.26,16:00:00
